 Number,Item,Item Count,Location,Transaction Name,Date
TT22E08010326,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2414,12/28/2022
TT22E08010326,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010331,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2414,12/28/2022
TT22E08010331,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010334,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010334,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010337,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2414,12/28/2022
TT22E08010337,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010339,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2414,12/28/2022
TT22E08010339,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010341,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010341,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
