 Number,Item,Item Count,Location,Transaction Name,Date
TT22E08010118,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010119,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010119,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010122,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2414,12/28/2022
TT22E08010122,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010124,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2400,12/27/2022
TT22E08010124,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010125,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010125,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010128,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010128,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010128,DE-E18-GRAY-S/M,1,Stock-TX,Inventory Transfer #IT2091,8/9/2023
TT22E08010131,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2409,12/28/2022
TT22E08010131,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3056,3/13/2023
TT22E08010133,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010133,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010135,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2931,2/7/2023
TT22E08010135,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010136,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010136,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010137,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2931,2/7/2023
TT22E08010137,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010140,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2931,2/7/2023
TT22E08010140,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010144,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2400,12/27/2022
TT22E08010144,DE-E18-GRAY-S/M,1,Stock-TX,Item Receipt #IR3032,3/10/2023
TT22E08010150,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2901,1/31/2023
TT22E08010150,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010150,DE-E18-GRAY-S/M,1,Stock-TX,Inventory Transfer #IT1864,6/29/2023
TT22E08010150-1,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010150-1,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010151,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2400,12/27/2022
TT22E08010151,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3199,4/28/2023
TT22E08010157,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2414,12/28/2022
TT22E08010157,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010158,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010158,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010159,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2409,12/28/2022
TT22E08010159,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3056,3/13/2023
TT22E08010159,DE-E18-GRAY-S/M,1,Stock-TX,Inventory Transfer #IT2091,8/9/2023
TT22E08010161,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010161,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010166,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2414,12/28/2022
TT22E08010166,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010172,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010172,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3199,4/28/2023
TT22E08010173,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2400,12/27/2022
TT22E08010173,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR2985,2/23/2023
TT22E08010177,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2414,12/28/2022
TT22E08010177,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010180,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2414,12/28/2022
TT22E08010180,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010187,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2400,12/27/2022
TT22E08010187,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010191,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2414,12/28/2022
TT22E08010191,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010194,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2901,1/31/2023
TT22E08010194,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010197,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2931,2/7/2023
TT22E08010197,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010200,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2414,12/28/2022
TT22E08010200,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010202,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2400,12/27/2022
TT22E08010202,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010203,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2400,12/27/2022
TT22E08010203,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010203,DE-E18-GRAY-S/M,1,Stock-TX,Inventory Transfer #IT1864,6/29/2023
TT22E08010204,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2409,12/28/2022
TT22E08010204,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR2985,2/23/2023
TT22E08010205,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2414,12/28/2022
TT22E08010205,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010207,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010207,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010208,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010208,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010209,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010209,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010211,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2931,2/7/2023
TT22E08010211,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010212,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010212,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010213,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2409,12/28/2022
TT22E08010213,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR2985,2/23/2023
TT22E08010215,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2414,12/28/2022
TT22E08010215,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010220,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2409,12/28/2022
TT22E08010220,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010220,DE-E18-GRAY-S/M,1,Stock-TX,Inventory Transfer #IT1864,6/29/2023
TT22E08010221,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010221,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010222,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2400,12/27/2022
TT22E08010222,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010223,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2931,2/7/2023
TT22E08010223,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010224,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2414,12/28/2022
TT22E08010224,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010227,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010227,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010228,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2931,2/7/2023
TT22E08010228,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010234,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010234,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010236,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2931,2/7/2023
TT22E08010236,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010242,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2931,2/7/2023
TT22E08010242,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010247,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2400,12/27/2022
TT22E08010247,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
